GENSPECIES,Family
Crangonyx sp.,Amphipoda
Gammarus fasciatus,Amphipoda
Gammarus pseudolimnaeus,Amphipoda
Gammarus sp.,Amphipoda
Gammarus tigrinus,Amphipoda
Hyalella azteca,Amphipoda
Hyalella sp.,Amphipoda
Monoculodes edwardsi,Amphipoda
Monoculodes sp.,Amphipoda
Undetermined Crangonyctidae,Amphipoda
Undetermined Gammaridae,Amphipoda
Undetermined Oedicerotidae,Amphipoda
Undetermined Talitridae,Amphipoda
Caecidotea communis,Asellidae
Caecidotea intermedius,Asellidae
Caecidotea nr. racovitzai,Asellidae
Caecidotea racovitzai,Asellidae
Caecidotea racovitzai racovitzai,Asellidae
Caecidotea sp.,Asellidae
Lirceus sp.,Asellidae
Undetermined Asellidae,Asellidae
Calopteryx sp.,Calopterygidae
Hetaerina sp.,Calopterygidae
Undetermined Calopterygidae,Calopterygidae
Chironomus decorus gr.,Chironomus
Chironomus riparius gr.,Chironomus
Chironomus sp.,Chironomus
Argia moesta,Coenagrionidae
Argia sp.,Coenagrionidae
Chromagrion sp.,Coenagrionidae
Enallagma sp.,Coenagrionidae
Ischnura sp.,Coenagrionidae
Ischnura sp. 1,Coenagrionidae
Ischnura sp. 2,Coenagrionidae
Ischnura sp. 3,Coenagrionidae
Ischnura sp. 4,Coenagrionidae
Ischnura sp. 5,Coenagrionidae
Undetermined Coenagrionidae,Coenagrionidae
Cordulegaster maculata,Cordulegastridae
Cordulegaster sp.,Cordulegastridae
Undetermined Cordulegastridae,Cordulegastridae
Hesperocorixa sp.,Corixidae
Undetermined Corixidae,Corixidae
Haliplus sp.,Haliplidae
Peltodytes sp.,Haliplidae
Undetermined Haliplidae,Haliplidae
Batracobdella phalera,Hirudinea
Batracobdella sp.,Hirudinea
Erpobdella sp.,Hirudinea
Helobdella elongata,Hirudinea
Helobdella sp. ,Hirudinea
Helobdella sp. 1,Hirudinea
Helobdella stagnalis,Hirudinea
Helobdella triserialis,Hirudinea
Placobdella montifera,Hirudinea
Placobdella sp.,Hirudinea
Undetermined Erpobdellidae,Hirudinea
Undetermined Glossiphoniidae,Hirudinea
Undetermined Hirudinea,Hirudinea
Fossaria sp.,Lymnaeidae
Lymnaea sp.,Lymnaeidae
Lymnaea stagnalis,Lymnaeidae
Pseudosuccinea columella,Lymnaeidae
Pseudosuccinea sp.,Lymnaeidae
Radix auricularia,Lymnaeidae
Radix sp.,Lymnaeidae
Stagnicola catascopium,Lymnaeidae
Stagnicola elodes,Lymnaeidae
Stagnicola sp.,Lymnaeidae
Undetermined Lymnaeidae,Lymnaeidae
Anodonta implicata,Pelecypoda
Anodonta sp.,Pelecypoda
Corbicula fluminea,Pelecypoda
Corbicula sp.,Pelecypoda
Dreissena polymorpha,Pelecypoda
Dreissena sp.,Pelecypoda
Elliptio complanata,Pelecypoda
Elliptio sp.,Pelecypoda
Lampsilis radiata,Pelecypoda
Lampsilis sp.,Pelecypoda
Musculium partumeium,Pelecypoda
Musculium sp.,Pelecypoda
Musculium transversum,Pelecypoda
Pisidium amnicum,Pelecypoda
Pisidium casertanum,Pelecypoda
Pisidium compressum,Pelecypoda
Pisidium sp.,Pelecypoda
Pisidium variabile,Pelecypoda
Pyganodon cataracta,Pelecypoda
Pyganodon sp.,Pelecypoda
Sphaerium corneum,Pelecypoda
Sphaerium rhomboideum,Pelecypoda
Sphaerium sp.,Pelecypoda
Sphaerium striatinum,Pelecypoda
Undetermined Corbiculidae,Pelecypoda
Undetermined Dreisseniidae,Pelecypoda
Undetermined Sphaeriidae,Pelecypoda
Undetermined Unionidae,Pelecypoda
Physella ancillaria,Physidae
Physella gyrina,Physidae
Physella heterostropha,Physidae
Physella integra,Physidae
Physella sp.,Physidae
Undetermined Physidae,Physidae
Sialis sp.,Sialidae
Undetermined Sialidae,Sialidae
Cnephia mutata,Simuliidae
Cnephia sp.,Simuliidae
Prosimulium arvum,Simuliidae
Prosimulium clandestinum,Simuliidae
Prosimulium fuscum,Simuliidae
Prosimulium magnum,Simuliidae
Prosimulium rhizophorum,Simuliidae
Prosimulium sp.,Simuliidae
Simulium aureum,Simuliidae
Simulium decorum,Simuliidae
Simulium fibrinflatum,Simuliidae
Simulium gouldingi,Simuliidae
Simulium jenningsi,Simuliidae
Simulium latipes,Simuliidae
Simulium parnassum,Simuliidae
Simulium pictipes,Simuliidae
Simulium rugglesi,Simuliidae
Simulium sp.,Simuliidae
Simulium tuberosum,Simuliidae
Simulium venustum,Simuliidae
Simulium vittatum,Simuliidae
Stegopterna sp.,Simuliidae
Undetermined Simuliidae,Simuliidae
Chrysops sp.,Tabanidae
Hybomitra sp.,Tabanidae
Tabanus sp.,Tabanidae
Undetermined Tabanidae,Tabanidae
Dugesia sp.,Turbellaria
Dugesia tigrina,Turbellaria
Undetermined Turbellaria,Turbellaria
